title,author,publisher,category,publish_date,description
"핸즈온 LLM : 프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념","Alamari, Jay",한빛미디어,Q336. A4해,2025,
모두를 위한 메타러닝 : PyTorch를 활용한 Few-shot 학습 모델과 빠른 강화학습 에이전트 만들기,정창훈,위키북스,Q325.6. 정811모,2022,
수학으로 풀어보는 강화학습 원리와 알고리즘,박성수,위키북스,Q325.6. 박53수,2021,
단단한 강화 학습 : 강화 학습 기본 개념을 제대로 정리한 인공 지능 교과서,리처드 서튼,제이펍,Q325.6. S9단,2020,
그랜드 퀘스트 2024: 대한민국 과학기술과 산업의 미래에 '질문'을 던지다,서울대학교,포르체,331.5412. 서67그,2023,
"한국 반도체의 미래 3년 : 2027년 반도체 골든 타임, 무엇을 준비하고 실현할 것인가",박준영,북루덴스,569.4. 박77하,2025,
지능의 기원: 우리의 뇌 그리고 AI를 만든 다섯 번의 혁신,"Bennett, Max",더퀘스트,511.1813. B4지,2025,
AI 에이전트 트렌드＆활용백과,김덕진,스마트북스,QA76.76.I58. 김225A,2025,
Reasoning in Quantum Theory: Sharp and Unsharp Quantum Logics,"Chiara, M. Dalla",Kluwer Academic Publishers,QC174.17.M35. C48R,2010,
혼자 공부하는 머신러닝+딥러닝,박해선,한빛미디어,Q325.5. 박92혼,2025,
"(26개 프로젝트로 끝내는) 콘텐츠 디자인 with 챗GPT: 누구나 프로처럼, 생활 AI",홍순성,한빛미디어,N7433.8. 홍57코,2025,
"Quantum theory, groups and representations : an introduction","Woit, Peter",Springer,QC174.17.M35. W6Q,2017,
"(LLM과 RAG로 구현하는) AI 애플리케이션 : 에이전트, 펑션콜링, Text-to-SQL, MCP까지 라마인덱스 실무 가이드",유에디,위키북스,Q336. 유63A,2025,
(10가지 프로젝트로 끝내는) 트랜스포머 활용 가이드  : with 파이토치,"Timsina, Prem",루비페이퍼,Q325.73. T5트,2025,
다양한 프로젝트로 끝장내는 파이토치 딥러닝 : 이렇게만 공부하면 파이토치는 끝!,신은섭,위즈앤북,Q325.73. 신58다,2024,
"밑바닥부터 시작하는 딥러닝. 1, 파이썬으로 익히는 딥러닝 이론과 구현 = Deep learning from scratch",사이토 고키,한빛미디어,Q335. 고821밑 v.1,2025,
(이해하기 쉬운) 소프트웨어 공학 에센셜 = Software engineering essential,윤청,생능출판,QA76.758. 윤815소,2015,
"밑바닥부터 시작하는 딥러닝. 4, 직접 구현하며 익히는 강화 학습 알고리즘 = Deep learning from scratch",사이토 고키,한빛미디어,Q335. 고821밑 v.4,2024,
"(7가지 프로젝트로 배우는) LLM AI 에이전트 개발 : OpenAI, LangChain, LIamaIndex, MetaGPT 기초부터 실무까지 한 권으로 완성하는 인공지능 에이전트 개발",황자,제이펍,Q336. 황71L,2025,
"(쉽고 빠르게 익히는) 실전 LLM : 최신 LLM 활용법부터 RAG, 멀티모달 트랜스포머, RLHF/RLAIF까지","Ozdemir, Sinan",한빛미디어,Q336. S52시,2025,
"밑바닥부터 시작하는 딥 러닝. 2, 파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리 = Deep Learning from Scratch",사이토 고키,한빛미디어,Q335. 고821밑,2019,
"밑바닥부터 시작하는 딥러닝. 5, 10단계로 익히는 이미지 생성 모델의 원리",사이토 고키,한빛미디어,Q335. 고821밑 v.5,2024,
"밑바닥부터 시작하는 딥 러닝. 3, 파이썬으로 직접 구현하며 배우는 딥 러닝 프레임워크 = Deep Learning from Scratch",사이토 고키,한빛미디어,Q335. 고821밑 v.3,2020,
"AI 에이전트 인 액션 : 설계와 구현, 배포까지, 그동안 궁금했던 AI 에이전트 개발의 모든 것","Lanham, Michael",위키북스,QA76.76.I58. L3A,2025,
책을 쓰는 과학자들 : 위대한 과학책의 역사,"Clegg, Brian",을유문화사,409. C57채,2025,
합성데이터와 인간 피드백 기반 강화학습(RLHF) 및 프롬프트 엔지니어링 기술 현황,하연,하연,,2025,
Mastering Generative Physical AI: A Practical Guide to Designing Autonomous Systems for Real-World Innovation,"Leblanc, Mason",,TJ211. L4M,2025,
그림으로 배우는 도커 : 개념부터 환경 구축까지 단계별로 익히는 도커,스즈키 료,한빛미디어,QA76.76.S58. 스78,2025,
"Human-centered AI : a multidisciplinary perspective for policy-makers, auditors, and users","Régis, Catherine","CRC Press, Taylor & Francis Group",BJ59. R4H,2024,
Introduction to Mathematical Modeling of Crop Growth : How the Equations are Derived and Assembled into a Computer Program,"Teh, Christopher",Brown Walker Press,S600.43.M37. T4I,2006,
"(한 권으로 끝내는) 실전 LLM 파인튜닝 : GPT 작동 원리부터 Gemma 2 / Llama 3 파인튜닝, vLLM 서빙까지",강다솔,위키북스,QA76.9.N38. 강221시,2024,
"러닝 랭체인 : 랭체인과 랭그래프로 구현하는 RAG, 에이전트, 인지 아키텍처","Oshin, Mayo",한빛미디어,Q336. O8러,2025,
파이썬 시계열 예측 분석,"Peixeiro, Marco",제이펍,QA280. P439파,2024,
만들면서 배우는 파이토치 딥러닝 : 12가지 모델로 알아보는 딥러닝 응용법 = Pytorch Deep Learning,오가와 유타로,한빛미디어,Q325.5. O45만,2021,
(테디노트의 랭체인을 활용한) RAG 비법노트 : 기본편,이경록,Re:commend,Q336. 이14R,2025,
"LLM을 활용한 실전 AI 애플리케이션 개발 : LLM의 기본부터 모델 학습, 임베딩, 벡터 데이터베이스로 만드는 RAG까지",허정준,책만,Q336. 허73L,2024,
레볼루션 코리아 : 대한민국 대혁신 실행전략 11 = Revolution Korea,구윤철,바다위의정원,340.111. 구67레,2024,
인간적 AI를 위하여 : AI에 윤리를 심기 위한 철학과 공학의 거대한 도전,"Christian, Brian",시공사(Sigongsa),331.5412. C48이,2025,
잘사니즘: 포용적-혁신-성장,서정희,다반,322.11. 서73자,2025,
"(비전공자도 이해할 수 있는) 챗GPT : 생성형 AI의 원리와 시장 이해, 프롬프트 작성까지, 챗GPT를 일상과 업무에 활용하기 위한 모든 기초 지식!",박상길,비즈니스북스,HF5548.4. 박51채,2025,
무의식은 어떻게 나를 설계하는가 : 나를 살리기도 망치기도 하는 머릿속 독재자,"Eagleman, David",알에이치코리아,154.2. E2무,2024,
딥시크 AI 전쟁 = DeepSeek AI War,배삼진,광문각출판미디어,004.73. 배51디,2025,
(국가정책 전문가의 시각에서 본) AI 코리아 = AI Korea,구윤철,바다위의정원,331.5412. 구67A,2025,
2025 전산직·군무원 소프트웨어공학 기출문제집 : 전산직·군무원·정보감리사·경찰청 / 최신 기출문제 완벽 분석 및 수록 / 전산직 7급 공무원 수험서의 Bible,박태순,지안에듀,QA76.758. 박832저,2024,
마침내 특이점이 시작된다: 인류가 AI와 결합하는 순간,"Kurzweil, Ray",비즈니스북스,331.5412. K8마,2025,
시간은 흐르지 않는다,카를로 로벨리,쌤앤파커스,420.1. 카238시,2019,
"엔비디아, 세계 최강 반도체 기업이 만드는 2040 AI 세계","츠다, 켄지",시그마북스,596.4. 츠221에,2025,
Arm 어셈블리 내부 구조와 리버스 엔지니어링,"Markstedter, Maria",에이콘,QA76.76.D57. M3A,2024,
임베디드 해킹 렉처노트 : 현업 해커에게 직접 듣는,ahrik,에이콘,QA76.76.D57. A38이,2025,
LangChainとLangGraphによるRAG・AIエージェント<実践>入門,西見 公宏,技術評論社,Q336. 니59L,2024,
AIを使って考えるための全技術 : 「最高の発想」を一瞬で生み出す56の技法,"石井, 力重",ダイヤモンド社,BF441. 이59A,2025,
MCP AIエージェント開発入門 : ペーパーバック,"中山, 茂",Independently published,QA76.76.I58. 나821M,2025,
겸재 정선. 3,최완수,현암사,653.11. 최66겸 v.3,2009,
겸재 정선. 2,최완수,현암사,653.11. 최66겸 v.2,2009,
겸재 정선. 1,최완수,현암사,653.11. 최66겸 v.1,2009,
"Paintings of Paul Cezanne : A Catalogue Raisonné. Vol. 2, The Plates",John Rewald,Harry N. Abrams,650.99. R4P v.2,1996,
"Paintings of Paul Cezanne : A Catalogue Raisonné. Vol. 1, The Texts",John Rewald,Harry N. Abrams,650.99. R4P v.1,1996,
Vincent Van Gogh : The Complete Works on Paper - Catalogue Raisonne . Volume 1 - Text,J. B. La Faille,Alan Wofsy Fine Arts,650.99. F3V,1992,
이쾌대 = Lee Qoe De,김진송,열화당,653.11. 김79이,1995,
"The Andy Warhol Catalogue Raisonné. Vol. 5B, Paintings 1976-1978","King-Nero, Sally",Phaidon Press,653.42. K5A v.2,2018,
"The Andy Warhol Catalogue Raisonné. Vol. 5A, Paintings 1976-1978","King-Nero, Sally",Phaidon Press,653.42. K5A v.1,2018,
"첨단 AI 반도체 패키징 및 열관리 테크 : 3D패키징, 실리콘 포토닉스/광 칩렛, 유리기판(TGV), 패키징 소재/공정, 액침냉각",한국미래기술교육연구원,미래기술,TK7874. H6처,2025,
"Mastering Quantum Computing with Qiskit : master the fundamentals, explore algorithms, and build scalable quantum applications using IBM Qiskit to solve real-world problems","Devendrababu, Shalini",Orange Education Pvt Ltd,QA76.889. D4M,2025,
Quantum Algorithms : a survey of applications and end-to-end complexities,"Dalzell, Alexander M",Cambridge University Press,QA76.889. D3Q,2025,
